Year,State,Producer Type,Energy Source,CO2 (kt),SO2 kt,cid
2000,IA,Commercial Cogen,Natural Gas,5.079,0,466
2001,IA,Commercial Cogen,Natural Gas,34.978,0,467
2002,IA,Commercial Cogen,Natural Gas,43.395,0,468
2003,IA,Commercial Cogen,Natural Gas,22.649,0,469
2004,IA,Commercial Cogen,Natural Gas,23.427,0,470
2005,IA,Commercial Cogen,Natural Gas,15.851,0,471
2006,IA,Commercial Cogen,Natural Gas,13.326,0,472
2007,IA,Commercial Cogen,Natural Gas,19.563,0,473
2008,IA,Commercial Cogen,Natural Gas,13.618,0,474
2009,IA,Commercial Cogen,Natural Gas,16.912,0,475
2010,IA,Commercial Cogen,Natural Gas,23.194,0,476
2011,IA,Commercial Cogen,Natural Gas,16.393,0,477
2012,IA,Commercial Cogen,Natural Gas,35.12,0,478
2013,IA,Commercial Cogen,Natural Gas,83.617,0,479
2014,IA,Commercial Cogen,Natural Gas,79.946,0,480
2015,IA,Commercial Cogen,Natural Gas,93.458,0,481
1996,IA,Commercial Cogen,Other,0.067,0.001,482
1997,IA,Commercial Cogen,Other,156.472,1.748,483
1998,IA,Commercial Cogen,Other,31.336,0.36,484
1999,IA,Commercial Cogen,Other,4.003,0.043,485
2000,IA,Commercial Cogen,Other,3.241,0.035,486
2001,IA,Commercial Cogen,Other,2.341,0,487
2002,IA,Commercial Cogen,Other,0.751,0.005,488
1997,IA,Commercial Cogen,Other Biomass,0,0,489
1998,IA,Commercial Cogen,Other Biomass,0,0,490
1999,IA,Commercial Cogen,Other Biomass,0,0,491
2000,IA,Commercial Cogen,Other Biomass,0,0,492
2001,IA,Commercial Cogen,Other Biomass,0,0,493
2002,IA,Commercial Cogen,Other Biomass,0,0,494
2003,IA,Commercial Cogen,Other Biomass,0,0,495
2004,IA,Commercial Cogen,Other Biomass,0,0,496
2005,IA,Commercial Cogen,Other Biomass,0,0,497
2006,IA,Commercial Cogen,Other Biomass,0,0,498
2007,IA,Commercial Cogen,Other Biomass,0,0,499
2008,IA,Commercial Cogen,Other Biomass,0,0,500
2009,IA,Commercial Cogen,Other Biomass,0,0,501
2010,IA,Commercial Cogen,Other Biomass,0,0,502
2011,IA,Commercial Cogen,Other Biomass,0,0.003,503
2012,IA,Commercial Cogen,Other Biomass,0,0.002,504
2013,IA,Commercial Cogen,Other Biomass,0,0,505
2014,IA,Commercial Cogen,Other Biomass,0,0,506
2015,IA,Commercial Cogen,Other Biomass,0,0,507
1990,IA,Commercial Cogen,Petroleum,0.953,0.001,508
1991,IA,Commercial Cogen,Petroleum,0.436,0,509
1992,IA,Commercial Cogen,Petroleum,8.173,0.052,510
1993,IA,Commercial Cogen,Petroleum,17.412,0.115,511
1994,IA,Commercial Cogen,Petroleum,105.148,0.385,512
1995,IA,Commercial Cogen,Petroleum,13.485,0.381,513
1996,IA,Commercial Cogen,Petroleum,41.658,0.381,514
1997,IA,Commercial Cogen,Petroleum,15.43,0.042,515
1998,IA,Commercial Cogen,Petroleum,14.391,0.376,516
1999,IA,Commercial Cogen,Petroleum,13.349,0.374,517
2000,IA,Commercial Cogen,Petroleum,18.51,0.509,518
2001,IA,Commercial Cogen,Petroleum,21.11,0.595,519
2002,IA,Commercial Cogen,Petroleum,23.359,0.71,520
2003,IA,Commercial Cogen,Petroleum,31.714,1.029,521
2004,IA,Commercial Cogen,Petroleum,26.581,0.829,522
2005,IA,Commercial Cogen,Petroleum,26.771,0.838,523
2006,IA,Commercial Cogen,Petroleum,27.637,0.887,524
2007,IA,Commercial Cogen,Petroleum,37.95,1.093,525
2008,IA,Commercial Cogen,Petroleum,28.753,0.932,526
2009,IA,Commercial Cogen,Petroleum,25.224,0.744,527
2010,IA,Commercial Cogen,Petroleum,34.838,1.071,528
2011,IA,Commercial Cogen,Petroleum,17.733,0.583,529
2012,IA,Commercial Cogen,Petroleum,36.299,1.245,530
2013,IA,Commercial Cogen,Petroleum,35.148,1.17,531
2014,IA,Commercial Cogen,Petroleum,51.98,1.854,532
2015,IA,Commercial Cogen,Petroleum,51.582,1.807,533
2014,IA,Commercial Cogen,Wood and Wood Derived Fuels,0,0,534
2015,IA,Commercial Cogen,Wood and Wood Derived Fuels,0,0,535
2015,ID,Commercial Cogen,Natural Gas,9.689,0,536
1993,IL,Commercial Cogen,Coal,163.694,5.511,537
1994,IL,Commercial Cogen,Coal,117.622,3.981,538
1995,IL,Commercial Cogen,Coal,147.026,2.608,539
1996,IL,Commercial Cogen,Coal,140.473,2.417,540
1997,IL,Commercial Cogen,Coal,166.95,2.955,541
1998,IL,Commercial Cogen,Coal,157.448,2.769,542
1999,IL,Commercial Cogen,Coal,155.606,2.849,543
2000,IL,Commercial Cogen,Coal,200.061,3.55,544
2001,IL,Commercial Cogen,Coal,112.691,0.214,545
2002,IL,Commercial Cogen,Coal,43.797,0.062,546
2003,IL,Commercial Cogen,Coal,113.883,0.136,547
2004,IL,Commercial Cogen,Coal,149.946,0.226,548
2005,IL,Commercial Cogen,Coal,138.678,0.21,549
2006,IL,Commercial Cogen,Coal,152.988,0.308,550
2007,IL,Commercial Cogen,Coal,179.644,0.317,551
2008,IL,Commercial Cogen,Coal,164.334,0.149,552
2009,IL,Commercial Cogen,Coal,131.008,0.8,553
2010,IL,Commercial Cogen,Coal,121.829,0.78,554
2011,IL,Commercial Cogen,Coal,187.653,1.34,555
2012,IL,Commercial Cogen,Coal,168.538,2.601,556
2013,IL,Commercial Cogen,Coal,202.541,3.238,557
2014,IL,Commercial Cogen,Coal,179.314,3.318,558
2015,IL,Commercial Cogen,Coal,128.526,2.544,559
1990,IL,Commercial Cogen,Natural Gas,54.495,0,560
1991,IL,Commercial Cogen,Natural Gas,78.975,0,561
1992,IL,Commercial Cogen,Natural Gas,100.738,0,562
1993,IL,Commercial Cogen,Natural Gas,249.002,0.001,563
1994,IL,Commercial Cogen,Natural Gas,257.4,0.001,564
1995,IL,Commercial Cogen,Natural Gas,237.697,0.001,565
1996,IL,Commercial Cogen,Natural Gas,238.717,0.001,566
1997,IL,Commercial Cogen,Natural Gas,238.604,0.001,567
1998,IL,Commercial Cogen,Natural Gas,221.271,0.001,568
1999,IL,Commercial Cogen,Natural Gas,204.732,0.001,569
2000,IL,Commercial Cogen,Natural Gas,167.644,0,570
2001,IL,Commercial Cogen,Natural Gas,140.682,0,571
2002,IL,Commercial Cogen,Natural Gas,318.891,0.002,572
2003,IL,Commercial Cogen,Natural Gas,221.468,0.001,573
2004,IL,Commercial Cogen,Natural Gas,435.097,0.002,574
2005,IL,Commercial Cogen,Natural Gas,381.67,0.002,575
2006,IL,Commercial Cogen,Natural Gas,367.056,0.002,576
2007,IL,Commercial Cogen,Natural Gas,366.177,0.002,577
2008,IL,Commercial Cogen,Natural Gas,307.173,0.001,578
2009,IL,Commercial Cogen,Natural Gas,278.368,0.001,579
2010,IL,Commercial Cogen,Natural Gas,274.583,0.001,580
2011,IL,Commercial Cogen,Natural Gas,279.63,0.001,581
2012,IL,Commercial Cogen,Natural Gas,288.226,0.001,582
2013,IL,Commercial Cogen,Natural Gas,280.611,0.001,583
2014,IL,Commercial Cogen,Natural Gas,288.382,0.001,584
2015,IL,Commercial Cogen,Natural Gas,331.389,0.001,585
1991,IL,Commercial Cogen,Other,0,0,586
1992,IL,Commercial Cogen,Other,0,0,587
1993,IL,Commercial Cogen,Other,0,0,588
1994,IL,Commercial Cogen,Other,0,0,589
1995,IL,Commercial Cogen,Other Biomass,0,0,590
1998,IL,Commercial Cogen,Other Biomass,0,0,591
1999,IL,Commercial Cogen,Other Biomass,0,0,592
2000,IL,Commercial Cogen,Other Biomass,0,0,593
2001,IL,Commercial Cogen,Other Biomass,0,0,594
2002,IL,Commercial Cogen,Other Biomass,0,0,595
2004,IL,Commercial Cogen,Other Biomass,0,0,596
2005,IL,Commercial Cogen,Other Biomass,0,0,597
2006,IL,Commercial Cogen,Other Biomass,0,0,598
2007,IL,Commercial Cogen,Other Biomass,0,0,599
2008,IL,Commercial Cogen,Other Biomass,0,0,600
2009,IL,Commercial Cogen,Other Biomass,0,0,601
2010,IL,Commercial Cogen,Other Biomass,0,0,602
2011,IL,Commercial Cogen,Other Biomass,0,0,603
2012,IL,Commercial Cogen,Other Biomass,0,0,604
2013,IL,Commercial Cogen,Other Biomass,0,0,605
1993,IL,Commercial Cogen,Petroleum,1.172,0.001,606
1994,IL,Commercial Cogen,Petroleum,7.756,0.02,607
1995,IL,Commercial Cogen,Petroleum,2.231,0.005,608
1996,IL,Commercial Cogen,Petroleum,10.282,0.02,609
1997,IL,Commercial Cogen,Petroleum,1.475,0.002,610
1998,IL,Commercial Cogen,Petroleum,3.05,0.006,611
1999,IL,Commercial Cogen,Petroleum,4.8,0.016,612
2000,IL,Commercial Cogen,Petroleum,17.712,0.034,613
2001,IL,Commercial Cogen,Petroleum,8.927,0.015,614
2002,IL,Commercial Cogen,Petroleum,0.156,0,615
2003,IL,Commercial Cogen,Petroleum,8.577,0,616
2004,IL,Commercial Cogen,Petroleum,18.115,0.001,617
2005,IL,Commercial Cogen,Petroleum,2.753,0.013,618
2006,IL,Commercial Cogen,Petroleum,6.209,0.019,619
2007,IL,Commercial Cogen,Petroleum,0.458,0.019,620
2008,IL,Commercial Cogen,Petroleum,0.277,0,621
2009,IL,Commercial Cogen,Petroleum,0.37,0,622
2010,IL,Commercial Cogen,Petroleum,0.144,0,623
2011,IL,Commercial Cogen,Petroleum,0.146,0,624
2012,IL,Commercial Cogen,Petroleum,0.16,0,625
2013,IL,Commercial Cogen,Petroleum,0.07,0,626
2014,IL,Commercial Cogen,Petroleum,0.126,0,627
2015,IL,Commercial Cogen,Petroleum,0.051,0,628
1990,IN,Commercial Cogen,Coal,245.976,3.952,629
1991,IN,Commercial Cogen,Coal,266.636,4.278,630
1992,IN,Commercial Cogen,Coal,257.624,5.338,631
1993,IN,Commercial Cogen,Coal,276.404,4.451,632
1994,IN,Commercial Cogen,Coal,292.908,6.126,633
1995,IN,Commercial Cogen,Coal,330.748,5.436,634
1996,IN,Commercial Cogen,Coal,432.472,8.121,635
1997,IN,Commercial Cogen,Coal,442.871,7.9,636
1998,IN,Commercial Cogen,Coal,434.394,7.588,637
1999,IN,Commercial Cogen,Coal,421.644,7.145,638
2000,IN,Commercial Cogen,Coal,459.016,7.367,639
2001,IN,Commercial Cogen,Coal,371.645,5.89,640
2002,IN,Commercial Cogen,Coal,396.038,5.271,641
2003,IN,Commercial Cogen,Coal,497.705,5.361,642
2004,IN,Commercial Cogen,Coal,574.777,5.435,643
2005,IN,Commercial Cogen,Coal,584.471,6.549,644
2006,IN,Commercial Cogen,Coal,542.549,5.097,645
2007,IN,Commercial Cogen,Coal,546.314,5.371,646
2008,IN,Commercial Cogen,Coal,711.835,8.813,647
2009,IN,Commercial Cogen,Coal,601.535,5.314,648
2010,IN,Commercial Cogen,Coal,632.527,5.628,649
2011,IN,Commercial Cogen,Coal,420.496,5.549,650
2012,IN,Commercial Cogen,Coal,369.275,4.723,651
2013,IN,Commercial Cogen,Coal,248.216,2.324,652
2014,IN,Commercial Cogen,Coal,210.774,1.352,653
2015,IN,Commercial Cogen,Coal,112.082,0.255,654
1990,IN,Commercial Cogen,Natural Gas,9.194,0,655
1991,IN,Commercial Cogen,Natural Gas,16.513,0,656
1992,IN,Commercial Cogen,Natural Gas,19.499,0,657
1993,IN,Commercial Cogen,Natural Gas,20.39,0,658
1994,IN,Commercial Cogen,Natural Gas,21.226,0,659
1995,IN,Commercial Cogen,Natural Gas,18.586,0,660
1996,IN,Commercial Cogen,Natural Gas,33.663,0,661
1997,IN,Commercial Cogen,Natural Gas,16.884,0,662
1998,IN,Commercial Cogen,Natural Gas,22.313,0,663
1999,IN,Commercial Cogen,Natural Gas,50.379,0,664
2000,IN,Commercial Cogen,Natural Gas,30.113,0,665
2001,IN,Commercial Cogen,Natural Gas,10.266,0,666
2002,IN,Commercial Cogen,Natural Gas,11.763,0,667
2003,IN,Commercial Cogen,Natural Gas,15.108,0,668
2004,IN,Commercial Cogen,Natural Gas,22.463,0,669
2005,IN,Commercial Cogen,Natural Gas,11.296,0,670
2006,IN,Commercial Cogen,Natural Gas,19.769,0,671
2007,IN,Commercial Cogen,Natural Gas,30.628,0,672
2008,IN,Commercial Cogen,Natural Gas,54.448,0,673
2009,IN,Commercial Cogen,Natural Gas,54.887,0,674
2010,IN,Commercial Cogen,Natural Gas,69.346,0,675
2011,IN,Commercial Cogen,Natural Gas,93.144,0,676
2012,IN,Commercial Cogen,Natural Gas,96.341,0,677
2013,IN,Commercial Cogen,Natural Gas,99.678,0,678
2014,IN,Commercial Cogen,Natural Gas,205.875,0.001,679
2015,IN,Commercial Cogen,Natural Gas,290.626,0.002,680
1990,IN,Commercial Cogen,Other,299.535,0.114,681
1991,IN,Commercial Cogen,Other,271.19,0.1,682
1992,IN,Commercial Cogen,Other,294.912,0.104,683
1993,IN,Commercial Cogen,Other,320.821,0.112,684
1994,IN,Commercial Cogen,Other,317.385,0.106,685
1995,IN,Commercial Cogen,Other,305.502,0.516,686
1996,IN,Commercial Cogen,Other,308.669,0.531,687
1997,IN,Commercial Cogen,Other,311.423,0.522,688
1998,IN,Commercial Cogen,Other,304.196,0.522,689
1999,IN,Commercial Cogen,Other,290.725,0.517,690
2000,IN,Commercial Cogen,Other,287.474,1.023,691
2001,IN,Commercial Cogen,Other,297.761,0,692
2002,IN,Commercial Cogen,Other,297.351,0.574,693
2003,IN,Commercial Cogen,Other,310.282,0.549,694
2004,IN,Commercial Cogen,Other,307.638,0.527,695
2005,IN,Commercial Cogen,Other,297.714,0.114,696
2006,IN,Commercial Cogen,Other,300.393,0,697
2007,IN,Commercial Cogen,Other,56.275,0.079,698
2008,IN,Commercial Cogen,Other,350.03,0.004,699
2009,IN,Commercial Cogen,Other,340.093,0.025,700
2010,IN,Commercial Cogen,Other,344.125,0.025,701
2011,IN,Commercial Cogen,Other,324.274,0.024,702
2012,IN,Commercial Cogen,Other,327.781,0.61,703
2013,IN,Commercial Cogen,Other,274.684,0.535,704
2014,IN,Commercial Cogen,Other,244.923,0.478,705
2015,IN,Commercial Cogen,Other,292.168,0.487,706
1990,IN,Commercial Cogen,Petroleum,1.644,0.006,707
1991,IN,Commercial Cogen,Petroleum,2.313,0.008,708
1992,IN,Commercial Cogen,Petroleum,4.52,0.021,709
1993,IN,Commercial Cogen,Petroleum,33.7,0.026,710
1994,IN,Commercial Cogen,Petroleum,8.81,0.031,711
1995,IN,Commercial Cogen,Petroleum,4.9,0.012,712
1996,IN,Commercial Cogen,Petroleum,6.168,0.033,713
1997,IN,Commercial Cogen,Petroleum,3.51,0.019,714
1998,IN,Commercial Cogen,Petroleum,5.327,0.025,715
1999,IN,Commercial Cogen,Petroleum,5.821,0.025,716
2000,IN,Commercial Cogen,Petroleum,13.054,0.026,717
2001,IN,Commercial Cogen,Petroleum,1.382,0.014,718
2002,IN,Commercial Cogen,Petroleum,2.46,0.012,719
2003,IN,Commercial Cogen,Petroleum,8.551,0.034,720
2004,IN,Commercial Cogen,Petroleum,2.857,0.005,721
2005,IN,Commercial Cogen,Petroleum,2.506,0.046,722
2006,IN,Commercial Cogen,Petroleum,1.363,0.033,723
2007,IN,Commercial Cogen,Petroleum,2.598,0.035,724
2008,IN,Commercial Cogen,Petroleum,2.494,0.002,725
2009,IN,Commercial Cogen,Petroleum,2.459,0.002,726
2010,IN,Commercial Cogen,Petroleum,4.972,0.006,727
2011,IN,Commercial Cogen,Petroleum,3.869,0.002,728
2012,IN,Commercial Cogen,Petroleum,0.244,0,729
2013,IN,Commercial Cogen,Petroleum,0.865,0.004,730
2014,IN,Commercial Cogen,Petroleum,1.122,0.002,731
2015,IN,Commercial Cogen,Petroleum,0.385,0,732
1994,KS,Commercial Cogen,Natural Gas,36.823,0,733
1995,KS,Commercial Cogen,Natural Gas,36.823,0,734
1996,KS,Commercial Cogen,Natural Gas,37.653,0,735
1997,KS,Commercial Cogen,Natural Gas,31.02,0,736
1998,KS,Commercial Cogen,Natural Gas,40.765,0,737
1999,KS,Commercial Cogen,Natural Gas,37.702,0,738
2000,KS,Commercial Cogen,Natural Gas,41.114,0,739
2001,KS,Commercial Cogen,Natural Gas,46.399,0,740
2002,KS,Commercial Cogen,Natural Gas,5.514,0,741
2003,KS,Commercial Cogen,Natural Gas,37.806,0,742
2004,KS,Commercial Cogen,Natural Gas,36.389,0,743
2005,KS,Commercial Cogen,Natural Gas,31.466,0,744
2006,KS,Commercial Cogen,Natural Gas,30.29,0,745
1997,KS,Commercial Cogen,Petroleum,15.609,0.096,746
2004,KS,Commercial Cogen,Petroleum,1.697,0.009,747
2005,KS,Commercial Cogen,Petroleum,0.09,0,748
1990,LA,Commercial Cogen,Natural Gas,46.216,0,749
1991,LA,Commercial Cogen,Natural Gas,40.588,0,750
1992,LA,Commercial Cogen,Natural Gas,46.216,0,751
1993,LA,Commercial Cogen,Natural Gas,39.565,0,752
1994,LA,Commercial Cogen,Natural Gas,40.579,0,753
1995,LA,Commercial Cogen,Natural Gas,45.168,0,754
1996,LA,Commercial Cogen,Natural Gas,41.744,0,755
1997,LA,Commercial Cogen,Natural Gas,45.401,0,756
1998,LA,Commercial Cogen,Natural Gas,47.222,0,757
1999,LA,Commercial Cogen,Natural Gas,38.319,0,758
2000,LA,Commercial Cogen,Natural Gas,46.242,0,759
2001,LA,Commercial Cogen,Natural Gas,35.899,0,760
2002,LA,Commercial Cogen,Natural Gas,46.029,0,761
2003,LA,Commercial Cogen,Natural Gas,36.923,0,762
2004,LA,Commercial Cogen,Natural Gas,31.155,0,763
2005,LA,Commercial Cogen,Natural Gas,38.797,0,764
2006,LA,Commercial Cogen,Natural Gas,41.155,0,765
2007,LA,Commercial Cogen,Natural Gas,43.29,0,766
2008,LA,Commercial Cogen,Natural Gas,30.711,0,767
2009,LA,Commercial Cogen,Natural Gas,30.211,0,768
2010,LA,Commercial Cogen,Natural Gas,31.054,0,769
2011,LA,Commercial Cogen,Natural Gas,30.758,0,770
2012,LA,Commercial Cogen,Natural Gas,34.237,0,771
2013,LA,Commercial Cogen,Natural Gas,129.614,0,772
2014,LA,Commercial Cogen,Natural Gas,122.614,0,773
2015,LA,Commercial Cogen,Natural Gas,116.435,0,774
1990,MA,Commercial Cogen,Natural Gas,18.455,0,775
1991,MA,Commercial Cogen,Natural Gas,43.992,0,776
1992,MA,Commercial Cogen,Natural Gas,125.317,0.001,777
1993,MA,Commercial Cogen,Natural Gas,133.527,0.001,778
1994,MA,Commercial Cogen,Natural Gas,126.712,0.001,779
1995,MA,Commercial Cogen,Natural Gas,239.747,0.001,780
1996,MA,Commercial Cogen,Natural Gas,277.064,0.001,781
1997,MA,Commercial Cogen,Natural Gas,263.482,0.001,782
1998,MA,Commercial Cogen,Natural Gas,231.818,0.001,783
1999,MA,Commercial Cogen,Natural Gas,278.68,0.001,784
2000,MA,Commercial Cogen,Natural Gas,288.78,0.001,785
2001,MA,Commercial Cogen,Natural Gas,374.223,0.001,786
2002,MA,Commercial Cogen,Natural Gas,262.281,0.001,787
2003,MA,Commercial Cogen,Natural Gas,220.269,0.001,788
2004,MA,Commercial Cogen,Natural Gas,275.261,0.002,789
2005,MA,Commercial Cogen,Natural Gas,426.779,0.003,790
2006,MA,Commercial Cogen,Natural Gas,438.717,0.003,791
2007,MA,Commercial Cogen,Natural Gas,430.213,0.003,792
2008,MA,Commercial Cogen,Natural Gas,392.74,0.002,793
2009,MA,Commercial Cogen,Natural Gas,400.028,0.002,794
2010,MA,Commercial Cogen,Natural Gas,400.188,0.002,795
2011,MA,Commercial Cogen,Natural Gas,421.416,0.002,796
2012,MA,Commercial Cogen,Natural Gas,424.281,0.002,797
2013,MA,Commercial Cogen,Natural Gas,441.399,0.001,798
2014,MA,Commercial Cogen,Natural Gas,424.355,0.001,799
2015,MA,Commercial Cogen,Natural Gas,416.758,0.001,800
2005,MA,Commercial Cogen,Other Biomass,0,0,801
2006,MA,Commercial Cogen,Other Biomass,0,0,802
2008,MA,Commercial Cogen,Other Biomass,0,0,803
2010,MA,Commercial Cogen,Other Biomass,0,0,804
2011,MA,Commercial Cogen,Other Biomass,0,0,805
2012,MA,Commercial Cogen,Other Biomass,0,0,806
2013,MA,Commercial Cogen,Other Biomass,0,0,807
2014,MA,Commercial Cogen,Other Biomass,0,0,808
2015,MA,Commercial Cogen,Other Biomass,0,0,809
1990,MA,Commercial Cogen,Petroleum,326.407,1.31,810
1991,MA,Commercial Cogen,Petroleum,307.089,1.122,811
1992,MA,Commercial Cogen,Petroleum,183.483,0.62,812
1993,MA,Commercial Cogen,Petroleum,188.827,0.726,813
1994,MA,Commercial Cogen,Petroleum,194.457,0.776,814
1995,MA,Commercial Cogen,Petroleum,173.905,0.482,815
1996,MA,Commercial Cogen,Petroleum,39.396,0.185,816
1997,MA,Commercial Cogen,Petroleum,137.842,0.403,817
1998,MA,Commercial Cogen,Petroleum,191.117,0.678,818
1999,MA,Commercial Cogen,Petroleum,140.453,0.518,819
2000,MA,Commercial Cogen,Petroleum,129.718,0.377,820
2001,MA,Commercial Cogen,Petroleum,196.425,0.298,821
2002,MA,Commercial Cogen,Petroleum,162.388,0.025,822
2003,MA,Commercial Cogen,Petroleum,206.497,0.377,823
2004,MA,Commercial Cogen,Petroleum,268.951,0.472,824
2005,MA,Commercial Cogen,Petroleum,164.127,0.322,825
2006,MA,Commercial Cogen,Petroleum,85.194,0.235,826
2007,MA,Commercial Cogen,Petroleum,37.228,0.163,827
2008,MA,Commercial Cogen,Petroleum,24.004,0.051,828
2009,MA,Commercial Cogen,Petroleum,32.797,0.069,829
2010,MA,Commercial Cogen,Petroleum,37.628,0.057,830
2011,MA,Commercial Cogen,Petroleum,14.772,0.011,831
2012,MA,Commercial Cogen,Petroleum,21.435,0.007,832
2013,MA,Commercial Cogen,Petroleum,19.797,0.04,833
2014,MA,Commercial Cogen,Petroleum,42.263,0.074,834
2015,MA,Commercial Cogen,Petroleum,24.106,0.048,835
1990,MD,Commercial Cogen,Coal,0,1.437,836
2015,MD,Commercial Cogen,Coal,1.353,0.004,837
2005,MD,Commercial Cogen,Natural Gas,48.872,0,838
2006,MD,Commercial Cogen,Natural Gas,4.584,0,839
2007,MD,Commercial Cogen,Natural Gas,3.148,0,840
2008,MD,Commercial Cogen,Natural Gas,0,0,841
2009,MD,Commercial Cogen,Natural Gas,0.001,0,842
2010,MD,Commercial Cogen,Natural Gas,0.01,0,843
2011,MD,Commercial Cogen,Natural Gas,120.365,0.001,844
2012,MD,Commercial Cogen,Natural Gas,112.337,0.001,845
2013,MD,Commercial Cogen,Natural Gas,158.73,0.001,846
2014,MD,Commercial Cogen,Natural Gas,155.879,0,847
2015,MD,Commercial Cogen,Natural Gas,201.1,0,848
1990,MD,Commercial Cogen,Other,0,0.002,849
1992,MD,Commercial Cogen,Other,0,0,850
1993,MD,Commercial Cogen,Other,0,0,851
1994,MD,Commercial Cogen,Other,0,0,852
1995,MD,Commercial Cogen,Other,59.291,0.222,853
1996,MD,Commercial Cogen,Other,67.097,0.264,854
1997,MD,Commercial Cogen,Other,72.878,0.232,855
1998,MD,Commercial Cogen,Other,59.348,0.234,856
1999,MD,Commercial Cogen,Other,55.141,0.234,857
2000,MD,Commercial Cogen,Other,54.558,0.299,858
2001,MD,Commercial Cogen,Other,51.947,0.619,859
2002,MD,Commercial Cogen,Other,52.273,0,860
2003,MD,Commercial Cogen,Other,63.976,0.251,861
2004,MD,Commercial Cogen,Other,52.299,0.231,862
2005,MD,Commercial Cogen,Other,51.967,0.004,863
2006,MD,Commercial Cogen,Other,51.997,0.145,864
2007,MD,Commercial Cogen,Other,43.891,0.069,865
2008,MD,Commercial Cogen,Other,42.331,0.003,866
2009,MD,Commercial Cogen,Other,43.988,0.004,867
2010,MD,Commercial Cogen,Other,46.904,0.004,868
2011,MD,Commercial Cogen,Other,48.169,0.003,869
2012,MD,Commercial Cogen,Other,56.92,0.094,870
2013,MD,Commercial Cogen,Other,55.684,0.093,871
2014,MD,Commercial Cogen,Other,4.987,0.008,872
2015,MD,Commercial Cogen,Other,5.064,0.008,873
2003,MD,Commercial Cogen,Other Biomass,0,0,874
1997,MD,Commercial Cogen,Other Gases,0.001,0,875
1998,MD,Commercial Cogen,Other Gases,0.001,0,876
1999,MD,Commercial Cogen,Other Gases,0.001,0,877
2006,MD,Commercial Cogen,Other Gases,0.069,0,878
1990,MD,Commercial Cogen,Petroleum,1.338,0.165,879
1992,MD,Commercial Cogen,Petroleum,1.338,0.001,880
1993,MD,Commercial Cogen,Petroleum,1.363,0.001,881
1994,MD,Commercial Cogen,Petroleum,0.461,0,882
1995,MD,Commercial Cogen,Petroleum,0.701,0.003,883
1996,MD,Commercial Cogen,Petroleum,1.284,0.005,884
1997,MD,Commercial Cogen,Petroleum,1.692,0.006,885
1998,MD,Commercial Cogen,Petroleum,1.95,0.004,886
1999,MD,Commercial Cogen,Petroleum,0.645,0.001,887
2000,MD,Commercial Cogen,Petroleum,0.526,0.001,888
2001,MD,Commercial Cogen,Petroleum,0.217,0,889
2002,MD,Commercial Cogen,Petroleum,1.089,0.002,890
2003,MD,Commercial Cogen,Petroleum,0.12,0,891
2004,MD,Commercial Cogen,Petroleum,1.506,0.002,892
2005,MD,Commercial Cogen,Petroleum,1.105,0.001,893
2006,MD,Commercial Cogen,Petroleum,0.165,0,894
2007,MD,Commercial Cogen,Petroleum,0.219,0,895
2008,MD,Commercial Cogen,Petroleum,0.433,0,896
2009,MD,Commercial Cogen,Petroleum,1.219,0.001,897
2010,MD,Commercial Cogen,Petroleum,0.821,0.001,898
2011,MD,Commercial Cogen,Petroleum,0.158,0,899
2012,MD,Commercial Cogen,Petroleum,0.262,0,900
2013,MD,Commercial Cogen,Petroleum,0.586,0.001,901
2014,MD,Commercial Cogen,Petroleum,0.472,0.001,902
2015,MD,Commercial Cogen,Petroleum,75.1,0.133,903
1995,MD,Commercial Cogen,Wood and Wood Derived Fuels,0,0.007,904
1996,MD,Commercial Cogen,Wood and Wood Derived Fuels,0,0.007,905
1997,MD,Commercial Cogen,Wood and Wood Derived Fuels,0,0.007,906
1998,MD,Commercial Cogen,Wood and Wood Derived Fuels,0,0.006,907
